Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,130,20,P:System.Web.UI.WebControls.TextBox.Text,,,,,"txtPrice.Text     = item.Price.ToString(""0.00"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,129,20,T:System.Web.UI.WebControls.TextBox,,,,,txtName.Text      = item.Name;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,129,20,P:System.Web.UI.WebControls.TextBox.Text,,,,,txtName.Text      = item.Name;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,128,20,T:System.Web.UI.WebControls.Label,,,,,"lblFormTitle.Text = ""Edit Product"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,128,20,P:System.Web.UI.WebControls.Label.Text,,,,,"lblFormTitle.Text = ""Edit Product"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,127,20,T:System.Web.UI.HtmlControls.HtmlInputHidden,,,,,hfEditId.Value    = item.Id.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,127,20,P:System.Web.UI.HtmlControls.HtmlInputControl.Value,,,,,hfEditId.Value    = item.Id.ToString();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,120,17,P:System.Web.UI.WebControls.CommandEventArgs.CommandName,,,,,"if (e.CommandName == ""EditItem"")              {                  using (var ctx = new eShopContext())                  {                      var item = new CatalogService(ctx).GetCatalogItem(itemId);                      if (item == null) return;                        hfEditId.Value    = item.Id.ToString();                      lblFormTitle.Text = ""Edit Product"";                      txtName.Text      = item.Name;                      txtPrice.Text     = item.Price.ToString(""0.00"");                      txtDescription.Text = item.Description;                      txtStock.Text     = item.AvailableStock.ToString();                      ddlBrand.SelectedValue = item.CatalogBrandId.ToString();                      ddlType.SelectedValue  = item.CatalogTypeId.ToString();                  }                  pnlForm.Visible = true;              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,113,12,P:System.Web.UI.WebControls.CommandEventArgs.CommandName,,,,,"if (e.CommandName == ""DeleteItem"")              {                  using (var ctx = new eShopContext())                      new CatalogService(ctx).DeleteCatalogItem(itemId);                  ShowSuccess(""Product deleted."");                  BindGrid();              }              else if (e.CommandName == ""EditItem"")              {                  using (var ctx = new eShopContext())                  {                      var item = new CatalogService(ctx).GetCatalogItem(itemId);                      if (item == null) return;                        hfEditId.Value    = item.Id.ToString();                      lblFormTitle.Text = ""Edit Product"";                      txtName.Text      = item.Name;                      txtPrice.Text     = item.Price.ToString(""0.00"");                      txtDescription.Text = item.Description;                      txtStock.Text     = item.AvailableStock.ToString();                      ddlBrand.SelectedValue = item.CatalogBrandId.ToString();                      ddlType.SelectedValue  = item.CatalogTypeId.ToString();                  }                  pnlForm.Visible = true;              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,111,12,P:System.Web.UI.WebControls.CommandEventArgs.CommandArgument,,,,,int itemId = int.Parse(e.CommandArgument.ToString());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,105,12,T:System.Web.UI.WebControls.Panel,,,,,pnlForm.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,eShopLegacy\eShopLegacy.csproj,File,eShopLegacy\Admin\Products.aspx.cs,105,12,P:System.Web.UI.Control.Visible,,,,,pnlForm.Visible = false;
